"A375-MDSC1"	"A375-MDSC2"	"A375-MDSC3"	"MDSC+4-IPP1"	"MDSC+4-IPP2"	"MDSC+4-IPP3"	"Cultured Monocytes1"	"Cultured Monocytes2"	"Cultured Monocytes3"
"ABHD4"	5.0223	5.123315	5.01597	5.211205	5.09305	5.29257	4.5588	4.6384	4.7312
"ABHD5"	5.76244	5.505795	5.559445	5.652505	5.5903	5.397245	4.722505	4.72596	4.66963
"ABHD6"	3.29301	3.48531666666667	3.43284	3.48859333333333	3.20385	3.16618	2.67613333333333	2.64927333333333	2.68435
"ABHD8"	3.14798	3.15001	3.24638	3.32596333333333	3.61833	3.48562	3.17812	3.25920333333333	3.36696333333333
"ABI1"	7.623878	7.591974	7.517672	7.116638	7.189792	7.26361	6.44274	6.355332	6.33057
"ABI2"	6.72969	6.78366	6.44676	5.39691	6.38825	5.78518	8.86573	8.67144	8.71201
"ABI3"	6.017535	6.05861	6.15702	6.364115	6.370885	6.40113	6.314225	6.21453	6.310255
"ABI3BP"	5.55543	5.60519	5.35814	4.83938	5.95087	5.60519	5.90001	5.86539	5.60519
"ABL1"	2.418905	2.412715	2.29691	2.797225	2.48949	2.42644	2.412715	2.3393	2.492285
"ABL2"	4.3616375	4.273925	4.331725	3.9986375	4.1599875	3.7603925	5.103425	5.086205	5.02502
"ABLIM1"	8.88327	8.87328	8.83271	10.1282	9.86808	9.94869	9.83375	9.82345	9.85804
"ABLIM2"	9.722295	9.70024	9.577675	9.5849	9.52925	9.42521	9.997195	9.966685	9.88865
"ABLIM3"	3.8211675	3.62464	3.714495	4.9481825	4.560895	4.7872575	3.9999825	3.91441	4.0932425
"ABO"	6.475718	6.475954	6.611092	6.904586	6.727146	6.535502	7.704248	7.654746	7.634696
"ABP1"	5.4730475	5.5219225	5.43824	6.17845	5.9407925	5.94751	5.79256	5.8337825	5.898275
"ABR"	5.49684333333333	5.65832	5.52161666666667	5.30637	5.47613666666667	5.7055	5.22242	5.26535	5.23999
