ID	Gene Symbol	GENE_ID
1552584_PM_at	IL12RB1	3594
1552585_PM_s_at	GTF2A1L	11036
1552586_PM_at	TRPV3	162514
1552587_PM_at	CNBD1	168975
1552588_PM_a_at	CNBD1	168975
1552590_PM_a_at	ABCC12	94160
1552592_PM_at	MMP21	118856
1552594_PM_at	TMEM190	147744
1552596_PM_at	GAS2L2	246176
1552598_PM_at	KCNG4	93107
1552599_PM_at	PXT1	222659
1552602_PM_at	CACNG5	27091
1552604_PM_at	C21orf74	54143
1552605_PM_s_at	C21orf74	54143
1552607_PM_at	NCRNA00204	100132967
1552608_PM_at	WFDC11	259239
1552609_PM_s_at	IL28A /// IL28B	282616 /// 282617
1552610_PM_a_at	JAK1	3716
1552611_PM_a_at	JAK1	3716
1552612_PM_at	CDC42SE2	56990
1552613_PM_s_at	CDC42SE2	56990
1552615_PM_at	ACACB	32
1552616_PM_a_at	ACACB	32
1552617_PM_a_at	RFWD2	64326
1552618_PM_at	STX6	10228
1552619_PM_a_at	ANLN	54443
1552620_PM_at	SPRR4	163778
1552621_PM_at	POLR2J2	246721
1552622_PM_s_at	LOC441259 /// POLR2J2	246721 /// 441259
1552623_PM_at	HSH2D	84941
1552625_PM_a_at	TRNT1	51095
1552626_PM_a_at	TMEM163	81615
1552627_PM_a_at	ARHGAP5	394
1552628_PM_a_at	HERPUD2	64224
1552629_PM_a_at	JMJD6	23210
1552630_PM_a_at	SRCAP	10847
1552631_PM_a_at	MAP3K6	9064
1552632_PM_a_at	ARSG	22901
1552633_PM_at	ZNF101	94039
1552634_PM_a_at	ZNF101	94039
1552637_PM_at	PTPN11	5781
1552639_PM_at	KLHDC7B	113730
1552641_PM_s_at	ATAD3A /// ATAD3B /// LOC732419	55210 /// 732419 /// 83858
1552643_PM_at	ZNF626	199777
1552644_PM_a_at	PHC3	80012
1552646_PM_at	IL11RA	3590
1552648_PM_a_at	TNFRSF10A	8797
1552649_PM_a_at	RFFL	117584
1552651_PM_a_at	RFFL	117584
1552652_PM_at	HPS4	89781
1552656_PM_s_at	UHMK1	127933
1552657_PM_a_at	TXNDC2	84203
1552658_PM_a_at	NAV3	89795
1552660_PM_a_at	C5orf22	55322
1552661_PM_at	PCDHGB7	56099
1552662_PM_a_at	PCDHGB7	56099
1552663_PM_a_at	ERC1	23085
1552664_PM_at	FLCN	201163
1552665_PM_at	LOC84989	84989
1552666_PM_a_at	LRRC7	57554
1552667_PM_a_at	SH2D3C	10044
1552669_PM_at	PPP1R3B	79660
1552670_PM_a_at	PPP1R3B	79660
1552671_PM_a_at	SLC9A7	84679
1552672_PM_a_at	IGSF3	3321
1552673_PM_at	RFX6	222546
1552674_PM_at	DIRC1	116093
1552675_PM_at	DNAJB7	150353
1552676_PM_at	UCN3	114131
1552677_PM_a_at	DIP2A	23181
1552678_PM_a_at	USP28	57646
1552680_PM_a_at	CASC5	57082
1552682_PM_a_at	CASC5	57082
1552684_PM_a_at	SENP8	123228
